Date,Category,District,Provider_ID,Demand_Count,Rainfall_Level,Is_Rainy,Is_Sunny,Is_Holiday,Is_Long_Weekend,Special_Event,Sunny_Days_Consecutive,Rainy_Days_Consecutive
2023-09-01,Electrical repairs,Gampaha,PRO-ELE-01,11,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Gampaha,PRO-ELE-02,10,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Colombo,PRO-ELE-03,12,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Gampaha,PRO-ELE-04,11,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Colombo,PRO-ELE-05,11,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Gampaha,PRO-ELE-06,12,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Gampaha,PRO-ELE-07,11,High,1,0,0,0,0,0,5
2023-09-01,Electrical repairs,Colombo,PRO-ELE-08,10,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Colombo,PRO-PLU-01,0,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Colombo,PRO-PLU-02,1,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Colombo,PRO-PLU-03,2,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Gampaha,PRO-PLU-04,2,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Gampaha,PRO-PLU-05,0,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Gampaha,PRO-PLU-06,0,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Colombo,PRO-PLU-07,2,High,1,0,0,0,0,0,5
2023-09-01,Plumbing,Gampaha,PRO-PLU-08,2,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Gampaha,PRO-FUR-01,0,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-02,1,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-03,2,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-04,2,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-05,1,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-06,0,High,1,0,0,0,0,0,5
2023-09-01,Furniture repair,Colombo,PRO-FUR-07,1,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Colombo,PRO-ROO-01,47,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Gampaha,PRO-ROO-02,47,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Gampaha,PRO-ROO-03,47,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Gampaha,PRO-ROO-04,47,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Colombo,PRO-ROO-05,47,High,1,0,0,0,0,0,5
2023-09-01,Roofing,Gampaha,PRO-ROO-06,46,High,1,0,0,0,0,0,5
